const,nconst,actor,gender,ordering
tt0010281,nm0797728,Ferry Sikla,2.0,3
tt0010281,nm0475470,Margarete Kupfer,1.0,4
tt0010281,nm0418131,Victor Janson,2.0,5
tt0010323,nm0470328,Werner Krauss,2.0,1
tt0010323,nm0891998,Conrad Veidt,2.0,2
tt0010323,nm0270415,Friedrich Feher,,3
tt0010323,nm0196820,Lil Dagover,1.0,4
tt0010323,nm0903145,Hans Heinrich von Twardowski,2.0,5
tt0010323,nm0504811,Rudolf Lettinger,2.0,6
tt0010323,nm0459030,Rudolf Klein-Rogge,2.0,7
tt0010323,nm0459030,Rudolf Klein-Rogge,2.0,8
tt0010323,nm0487085,Hans Lanser-Ludolff,,9
tt0010323,nm0487085,Hans Lanser-Ludolff,,10
tt0010323,nm0676742,Henri Peters-Arnolds,2.0,11
tt0010323,nm0676742,Henri Peters-Arnolds,2.0,12
tt0010323,nm0720991,Ludwig Rex,2.0,13
tt0010323,nm0720991,Ludwig Rex,2.0,14
tt0010600,nm0652661,Ossi Oswalda,1.0,1
tt0010600,nm0858164,Hermann Thimig,2.0,2
tt0010600,nm0418131,Victor Janson,2.0,3
tt0010600,nm0472174,Max Kronert,2.0,4
tt0010600,nm0477815,Marga Köhler,1.0,5
tt0010600,nm0728818,Gerhard Ritterband,2.0,6
tt0010600,nm0862816,Jakob Tiedtke,2.0,7
tt0010600,nm0233328,Josefine Dora,1.0,8
tt0010600,nm0487600,Lapitski,,9
tt0010600,nm0604940,Paul Morgan,2.0,10
tt0011960,nm0624470,Pola Negri,1.0,1
tt0011960,nm0418131,Victor Janson,2.0,2
tt0011960,nm0373928,Paul Heidemann,2.0,3
tt0011960,nm0225905,Wilhelm Diegelmann,2.0,4
tt0011960,nm0858164,Hermann Thimig,2.0,5
tt0011960,nm0577914,Edith Meller,1.0,6
tt0011960,nm0477815,Marga Köhler,1.0,7
tt0011960,nm0333675,Paul Graetz,2.0,8
tt0011960,nm0343096,Max Gronert,,9
tt0011960,nm0465837,Erwin Kopp,0.0,10
tt0012349,nm0000122,Charles Chaplin,,1
tt0012349,nm0701012,Edna Purviance,1.0,2
tt0012349,nm0001067,Jackie Coogan,2.0,3
tt0012349,nm0588033,Carl Miller,2.0,4
tt0012349,nm0042317,Albert Austin,2.0,5
tt0012349,nm0042317,Albert Austin,2.0,6
tt0012349,nm0047800,Beulah Bains,1.0,7
tt0012349,nm0048798,Nellie Bly Baker,1.0,8
tt0012349,nm0074788,Henry Bergman,2.0,9
tt0012349,nm0074788,Henry Bergman,2.0,10
tt0012349,nm0080930,Edward Biby,2.0,11
tt0012349,nm0088471,B.F. Blinn,2.0,12
tt0013442,nm0775180,Max Schreck,2.0,1
tt0013442,nm0334603,Alexander Granach,2.0,2
tt0013442,nm0903194,Gustav von Wangenheim,2.0,3
tt0013442,nm0775659,Greta Schröder,1.0,4
tt0013442,nm0774114,Georg H. Schnell,2.0,5
tt0013442,nm0485146,Ruth Landshoff,1.0,6
tt0013442,nm0098774,Gustav Botz,2.0,7
tt0013442,nm0332024,John Gottowt,2.0,8
tt0013442,nm0625947,Max Nemetz,2.0,9
tt0013442,nm0374594,Wolfgang Heinz,2.0,10
tt0015634,nm0732079,Paul Robeson,2.0,1
tt0015634,nm0732079,Paul Robeson,2.0,2
tt0015634,nm0737074,Marshall Rogers,2.0,3
tt0015634,nm0155479,Lawrence Chenault,2.0,4
tt0015634,nm0018319,Chester A. Alexander,2.0,5
tt0015634,nm0180394,Walter Cornick,,6
tt0015634,nm0425645,Lillian Johnson,0.0,7
tt0015634,nm0732876,Madame Robinson,1.0,8
tt0015634,nm1198583,Tom Fletcher,2.0,9
tt0015634,nm0318171,Mercedes Gilbert,1.0,10
tt0015634,nm0751260,Julia Theresa Russell,1.0,11
tt0015864,nm0000122,Charles Chaplin,,1
tt0015864,nm0841501,Mack Swain,2.0,2
tt0015864,nm0615306,Tom Murray,2.0,3
tt0015864,nm0074788,Henry Bergman,2.0,4
tt0015864,nm0906618,Malcolm Waite,2.0,5
tt0015864,nm0354913,Georgia Hale,1.0,6
tt0015864,nm1033900,Jack Adams,2.0,7
tt0015864,nm1027682,Frank Aderias,0.0,8
tt0015864,nm1027683,Leona Aderias,0.0,9
tt0015864,nm0012447,Lillian Adrian,0.0,10
tt0016439,nm0228715,Richard Dix,2.0,1
