actor_a,actor_b,co_appearances
Cary Grant,Jean Arthur,2
Greer Garson,Reginald Owen,2
Greer Garson,Robert Taylor,2
Basil Rathbone,Boris Karloff,2
Lucile Watson,Mary Boland,2
Cecil Kellaway,Miles Mander,2
Charles Trowbridge,Vincent Price,2
Greer Garson,Mary Boland,2
Joan Fontaine,Nigel Bruce,2
Arthur Kennedy,Humphrey Bogart,2
Barton MacLane,Jerome Cowan,2
Humphrey Bogart,Jerome Cowan,2
Eric Blore,Robert Greig,2
Eric Blore,William Demarest,2
Robert Greig,William Demarest,2
Patricia Collinge,Teresa Wright,2
Humphrey Bogart,Mary Astor,2
Humphrey Bogart,Peter Lorre,2
Mary Astor,Sydney Greenstreet,2
Peter Lorre,Sydney Greenstreet,2
Carole Lombard,Charles Halton,2
Joel McCrea,Robert Warwick,2
Porter Hall,William Demarest,2
Robert Greig,Robert Warwick,2
Robert Greig,Veronica Lake,2
Robert Warwick,Veronica Lake,2
Cary Grant,Leo G. Carroll,2
Claude Rains,Ingrid Bergman,2
Claude Rains,Paul Henreid,2
Jane Randolph,Kent Smith,2
Jane Randolph,Simone Simon,2
Kent Smith,Simone Simon,2
Bette Davis,Claude Rains,2
Bruce Bennett,Humphrey Bogart,2
Ingrid Bergman,Joseph Cotten,2
Dan Seymour,Humphrey Bogart,2
Dan Seymour,Lauren Bacall,2
Humphrey Bogart,Marcel Dalio,2
Donald Curtis,Norman Lloyd,2
Gloria Grahame,James Stewart,2
Bette Davis,David Brian,2
Gary Merrill,George Sanders,2
Charles Bronson,Vincent Price,2
Mari Aldon,Rossano Brazzi,2
Grace Kelly,John Williams,2
Audrey Hepburn,Marcel Dalio,2
Audrey Hepburn,William Holden,2
Aldo Silvani,Giulietta Masina,2
Kim Novak,Raymond Bailey,2
Dennis Hopper,James Dean,2
Dennis Hopper,Sal Mineo,2
James Dean,Sal Mineo,2
Cary Grant,Jessie Royce Landis,2
Charlton Heston,Edward G. Robinson,2
Charlton Heston,Martha Scott,2
Audrey Hepburn,Jean Del Val,2
Audrey Hepburn,John McGiver,2
James Stewart,Kim Novak,2
Elisha Cook Jr.,Vincent Price,2
Artur Mlodnicki,Zbigniew Cybulski,2
Cary Grant,Dick Sargent,2
Brett Halsey,Vincent Price,2
Jack Lemmon,Joan Shawlee,2
David Frankham,Wally Campo,2
Vincent Price,Wally Campo,2
Gunnar Björnstrand,Max von Sydow,2
Basil Rathbone,Joyce Jameson,2
Basil Rathbone,Peter Lorre,2
Basil Rathbone,Vincent Price,2
Debra Paget,Vincent Price,2
Joyce Jameson,Peter Lorre,2
Joyce Jameson,Vincent Price,2
Audrey Hepburn,Jacques Marin,2
Boris Karloff,Peter Lorre,2
Boris Karloff,Vincent Price,2
Hazel Court,Vincent Price,2
Gunnar Björnstrand,Liv Ullmann,2
Hilary Heath,Rupert Davies,2
Rupert Davies,Vincent Price,2
Carl Rigg,Hilary Heath,2
Carl Rigg,Sally Geeson,2
Carl Rigg,Vincent Price,2
Christopher Lee,Vincent Price,2
Hilary Heath,Sally Geeson,2
Sally Geeson,Vincent Price,2
Hugh Griffith,Vincent Price,2
Terry-Thomas,Vincent Price,2
Bruce Lee,James Tien,2
Bruce Lee,Maria Yi,2
